May  9 06:25:01 iv-splv-link CRON[17269]: pam_unix(cron:session): session closed for user root
May  9 06:39:01 iv-splv-link CRON[17423]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 06:39:01 iv-splv-link CRON[17423]: pam_unix(cron:session): session closed for user root
May  9 07:09:01 iv-splv-link CRON[17463]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 07:09:01 iv-splv-link CRON[17463]: pam_unix(cron:session): session closed for user root
May  9 07:17:01 iv-splv-link CRON[17498]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 07:17:01 iv-splv-link CRON[17498]: pam_unix(cron:session): session closed for user root
May  9 07:39:01 iv-splv-link CRON[17506]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 07:39:01 iv-splv-link CRON[17506]: pam_unix(cron:session): session closed for user root
May  9 08:09:01 iv-splv-link CRON[17546]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 08:09:01 iv-splv-link CRON[17546]: pam_unix(cron:session): session closed for user root
May  9 08:17:01 iv-splv-link CRON[17582]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 08:17:01 iv-splv-link CRON[17582]: pam_unix(cron:session): session closed for user root
May  9 08:39:01 iv-splv-link CRON[17590]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 08:39:01 iv-splv-link CRON[17590]: pam_unix(cron:session): session closed for user root
May  9 09:09:01 iv-splv-link CRON[17630]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 09:09:01 iv-splv-link CRON[17630]: pam_unix(cron:session): session closed for user root
May  9 09:17:01 iv-splv-link CRON[17665]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 09:17:01 iv-splv-link CRON[17665]: pam_unix(cron:session): session closed for user root
May  9 09:39:01 iv-splv-link CRON[17673]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 09:39:02 iv-splv-link CRON[17673]: pam_unix(cron:session): session closed for user root
May  9 10:09:01 iv-splv-link CRON[17714]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 10:09:01 iv-splv-link CRON[17714]: pam_unix(cron:session): session closed for user root
May  9 10:17:01 iv-splv-link CRON[17749]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 10:17:01 iv-splv-link CRON[17749]: pam_unix(cron:session): session closed for user root
May  9 10:39:01 iv-splv-link CRON[17757]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 10:39:01 iv-splv-link CRON[17757]: pam_unix(cron:session): session closed for user root
May  9 11:09:01 iv-splv-link CRON[17797]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 11:09:01 iv-splv-link CRON[17797]: pam_unix(cron:session): session closed for user root
May  9 11:17:01 iv-splv-link CRON[17832]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 11:17:01 iv-splv-link CRON[17832]: pam_unix(cron:session): session closed for user root
May  9 11:39:01 iv-splv-link CRON[17841]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 11:39:01 iv-splv-link CRON[17841]: pam_unix(cron:session): session closed for user root
May  9 12:09:01 iv-splv-link CRON[17881]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 12:09:01 iv-splv-link CRON[17881]: pam_unix(cron:session): session closed for user root
May  9 12:17:01 iv-splv-link CRON[17916]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 12:17:01 iv-splv-link CRON[17916]: pam_unix(cron:session): session closed for user root
May  9 12:39:01 iv-splv-link CRON[17924]: pam_unix(cron:session): session opened for user root by (uid=0)
