2017/05/22 11:22:47 [error] 545#0: *2765 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 2 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 11:22:49 [error] 545#0: *2765 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 2 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 11:25:22 [error] 545#0: *2773 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 2 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 11:25:24 [error] 545#0: *2773 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: choix in /var/www/site/controleur/admin_projets.php on line 15
PHP message: PHP Notice:  Undefined index: choix in /var/www/site/controleur/admin_projets.php on line 19" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 11:27:55 [error] 545#0: *2781 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 2 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 11:27:58 [error] 545#0: *2781 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: choix in /var/www/site/controleur/admin_projets.php on line 15
PHP message: PHP Notice:  Undefined index: choix in /var/www/site/controleur/admin_projets.php on line 19" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 11:28:05 [error] 545#0: *2781 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: choix in /var/www/site/controleur/admin_projets.php on line 15
PHP message: PHP Notice:  Undefined index: choix in /var/www/site/controleur/admin_projets.php on line 19" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:03:44 [error] 545#0: *2813 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:03:53 [error] 545#0: *2813 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:04:16 [error] 545#0: *2813 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:05:30 [error] 545#0: *2822 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:05:34 [error] 545#0: *2822 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:06:43 [error] 545#0: *2825 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:11:44 [error] 545#0: *2827 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:13:22 [error] 545#0: *2834 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:15:25 [error] 545#0: *2841 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:15:34 [error] 545#0: *2841 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:17:57 [error] 545#0: *2849 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:18:05 [error] 545#0: *2849 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 12:19:42 [error] 545#0: *2857 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 3 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
